url,page_type,locale,inbound_links,unique_inbound_pages,crawl_depth,hub_membership,related_tool_links,related_guide_links,related_workflow_links,status
https://funnytools.win/en/guides/teacher-exam-weighted-score-guide/,guide,en,12,12,1,/en/category/statistics/;/en/guides/;/en/;/en/workflows/,7,5,1,OK
https://funnytools.win/en/guides/two-way-anova-interaction-guide/,guide,en,8,8,2,/en/guides/,5,5,1,OK
https://funnytools.win/en/guides/word-count-essay-limits-guide/,guide,en,6,6,2,/en/guides/,7,2,0,OK
https://funnytools.win/en/guides/z-score-calculator-guide/,guide,en,12,12,1,/en/guides/;/en/;/en/workflows/,7,4,2,OK
https://funnytools.win/en/,home,en,407,407,0,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/;/es/categorias/azar/;/es/categorias/dibujo/;/es/categorias/dinero/;/es/categorias/estadistica/;/es/categorias/estudio/;/es/categorias/imagen/;/es/categorias/pdf/;/es/categorias/texto/;/es/categorias/tiempo/;/es/flujos/;/es/guias/;/es/herramientas/;/es/;/es/para/;/fr/;/fr/outils/;/,166,14,15,OK
https://funnytools.win/en/privacy/,legal,en,194,194,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/shop/,support,en,193,193,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/support/,support,en,193,193,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/terms/,legal,en,193,193,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/tools/age-calculator/,tool,en,14,14,1,/en/category/time/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/apa-7-report-generator/,tool,en,16,16,1,/en/category/statistics/;/en/;/en/tools/,12,4,1,OK
https://funnytools.win/en/tools/bar-chart-maker/,tool,en,14,14,1,/en/category/draw/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/barcode-generator/,tool,en,10,10,1,/en/category/image/;/en/;/en/tools/,14,1,0,OK
https://funnytools.win/en/tools/base64/,tool,en,12,12,1,/en/category/text/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/break-reminder/,tool,en,10,10,1,/en/category/time/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/bulk-image-compressor/,tool,en,4,4,1,/en/category/image/;/en/;/en/tools/,11,0,0,OK
https://funnytools.win/en/tools/business-days/,tool,en,17,17,1,/en/category/time/;/en/;/en/tools/,13,0,1,OK
https://funnytools.win/en/tools/cad-2d/,tool,en,13,13,1,/en/category/draw/;/en/;/en/tools/,14,1,0,OK
https://funnytools.win/en/tools/case-converter/,tool,en,22,22,1,/en/category/text/;/en/;/en/tools/,13,1,2,OK
