url,google_status,google_canonical,user_canonical,canonical_category,coverage_state,tool_slug,functional_signature,similarity_pair_count,max_boilerplate_adjusted_similarity,intent_relationships,inspection_result_link
https://funnytools.win/es/aviso-legal/,Crawled Not Indexed,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/aviso-legal/,SELF_MATCH,Rastreada: actualmente sin indexar,,,14,0.857,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=xpRkZeEFRGSnpk6JRvytwg&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/azar/,Crawled Not Indexed,https://funnytools.win/es/categorias/azar/,https://funnytools.win/es/categorias/azar/,SELF_MATCH,Rastreada: actualmente sin indexar,,,5,0.827,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=9V2stI_8tF_r2d_pGZVHbA&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/dibujo/,Crawled Not Indexed,https://funnytools.win/es/categorias/dibujo/,https://funnytools.win/es/categorias/dibujo/,SELF_MATCH,Rastreada: actualmente sin indexar,,,1,0.794,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=e7-naWyUpDTH9swjQTIC6A&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/dinero/,Crawled Not Indexed,https://funnytools.win/es/categorias/dinero/,https://funnytools.win/es/categorias/dinero/,SELF_MATCH,Rastreada: actualmente sin indexar,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=bDr9YCbPUmBDhySvYwFFcA&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/estadistica/,Crawled Not Indexed,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/categorias/estadistica/,SELF_MATCH,Rastreada: actualmente sin indexar,,,11,0.878,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=mPgW1sAqQw5O7P-U4X7PPg&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/estudio/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,16,0.83,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=KlqYaJJBx8qpedDCDDCouQ&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/imagen/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,5,0.86,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=iTDPbtnwfm8CUheO17vJ-g&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/pdf/,Crawled Not Indexed,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/categorias/pdf/,SELF_MATCH,Rastreada: actualmente sin indexar,,,7,0.875,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=t3IYc9CdyzkbtReioNmxXg&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/texto/,Crawled Not Indexed,https://funnytools.win/es/categorias/texto/,https://funnytools.win/es/categorias/texto/,SELF_MATCH,Rastreada: actualmente sin indexar,,,2,0.811,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=4np8332APXHDmRAgpYekig&utm_medium=link&utm_source=api
https://funnytools.win/es/categorias/tiempo/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.784,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jrC7eJuHkvT6mcI00OhGQw&utm_medium=link&utm_source=api
https://funnytools.win/es/como-funcionan-las-herramientas/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,9,0.87,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=yrEQmhFpDZnomh_xmblMGg&utm_medium=link&utm_source=api
https://funnytools.win/es/condiciones-de-uso/,Crawled Not Indexed,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/condiciones-de-uso/,SELF_MATCH,Rastreada: actualmente sin indexar,,,7,0.853,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=78v9ihKkwGJZ4f2w0mwxCQ&utm_medium=link&utm_source=api
https://funnytools.win/es/contacto/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,6,0.851,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=TLeShk6PqDj5qG_8Z3puTg&utm_medium=link&utm_source=api
https://funnytools.win/es/estadisticas-educativas/,Crawled Not Indexed,https://funnytools.win/es/estadisticas-educativas/,https://funnytools.win/es/estadisticas-educativas/,SELF_MATCH,Rastreada: actualmente sin indexar,,,5,0.878,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=m-7ZPbhuG0zxU5nzAKzMIg&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,11,0.811,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=MVILFWr0QIWuw07vw6AJtw&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/actividades-aleatorias-aula/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,2,0.804,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ICi2giyt8mnUlplCXC1KjQ&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/calcular-nota-oposicion-docente/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=T_UjgxtMU688u6lEYZqegA&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/contenido-redes-sociales/,Crawled Not Indexed,https://funnytools.win/es/flujos/contenido-redes-sociales/,https://funnytools.win/es/flujos/contenido-redes-sociales/,SELF_MATCH,Rastreada: actualmente sin indexar,,,1,0.82,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zKwNwMrduMlSoZxIldw7-w&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/decisiones-cotidianas/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,4,0.827,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=aA7nU16TlSrai1Cj7GTwkg&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/documentos-oficina/,Crawled Not Indexed,https://funnytools.win/es/flujos/documentos-oficina/,https://funnytools.win/es/flujos/documentos-oficina/,SELF_MATCH,Rastreada: actualmente sin indexar,,,1,0.797,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ww3SmB3pd3vxCDVtm76ORg&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/entrega-informe-estudiantil/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.867,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=asxLCIfZhAKbKaNRXAANpw&utm_medium=link&utm_source=api
https://funnytools.win/es/flujos/informe-estadistico-investigacion/,Crawled Not Indexed,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,SELF_MATCH,Rastreada: actualmente sin indexar,,,6,0.836,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=J-fpFQLze2oo8ByTYDmVDg&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,12,0.813,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=PPdCBoTFDZVhvigYXevTQA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/a4-o-letter-para-imprimir/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=u5NCe5BSqRYlMLYFt2pGCA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,Crawled Not Indexed,https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,SELF_MATCH,Rastreada: actualmente sin indexar,,,2,0.836,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=FuuIqIuaXyCXAmhbrpe3FQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/anova-formato-apa-7/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,3,0.853,ADJACENT; COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ijZpluIJwV6T64n5SKcf3Q&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/calcular-nota-oposicion-docente/,Crawled Not Indexed,https://funnytools.win/es/guias/calcular-nota-oposicion-docente/,https://funnytools.win/es/guias/calcular-nota-oposicion-docente/,SELF_MATCH,Rastreada: actualmente sin indexar,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=IfhtEr_74NdDuzt6ugeiFQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/calcular-porcentajes-rapido/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=OjpuQELhlkXg-0n6e7UYrA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/codigos-qr-en-el-aula/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,3,0.825,ADJACENT; COMPLEMENTARY; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=j90i5pGBq1Hdbq-bnLui9Q&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/comprimir-fotos-para-email/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,4,0.86,ADJACENT; COMPLEMENTARY; DIFFERENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Si7NiA0uVDdDdT4Sc_xITQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/contrasena-segura-fuerte/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.847,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=2DjCWeazD9f5TQ3ugt85hA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/fluidez-tablas-multiplicar/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=0ehfaOvasaCinD8zIh7j-Q&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,6,0.832,ADJACENT; COMPLEMENTARY; DIFFERENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=m5ac2I1Q5j-zz7_0ig0pbw&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/grafico-barras-trabajo-escolar/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.815,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=DHlUR5vYa782WoORj_fiDA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/grupos-aleatorios-clase/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,3,0.836,ADJACENT; COMPLEMENTARY; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=8XMHttDm3So8YQD_AmiHyg&utm_medium=link&utm_source=api
