url,inspected_at,inspection_result_link,url_status,google_known,google_crawled,google_indexed,verdict,coverage_state,robots_txt_state,indexing_state,last_crawl_time,page_fetch_state,google_canonical,user_canonical,canonical_category,crawled_as,sitemap_count,sitemap_urls,referring_url_count,referring_urls,rich_results_available,api_error,api_status,last_crawl_age_days,crawl_recency_bucket,weak_discovery_support
https://funnytools.win/en/education-statistics/,2026-09-13T08:14:51.012Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=xa3BmV6NFEssxZcQszHP3w&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-11T06:53:06Z,SUCCESSFUL,https://funnytools.win/en/education-statistics/,https://funnytools.win/en/education-statistics/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/education-statistics/; http://funnytools.win/education-statistics/,UNKNOWN,,200,33,>30 days,no
https://funnytools.win/en/for/,2026-09-13T08:14:52.302Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=0paUpYOxufi05FDjU03kcg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-18T10:09:35Z,SUCCESSFUL,https://funnytools.win/en/for/,https://funnytools.win/en/for/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/for/,UNKNOWN,,200,25,15–30 days,no
https://funnytools.win/en/for/creators/,2026-09-13T08:14:52.281Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ajWRIoA4gG36cMabrKk08A&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-19T16:16:16Z,SUCCESSFUL,https://funnytools.win/en/for/creators/,https://funnytools.win/en/for/creators/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/for/creators/,UNKNOWN,,200,24,15–30 days,no
https://funnytools.win/en/for/designers/,2026-09-13T08:14:58.165Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=6KH2ORzzYNtsqT1AERI6_A&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-20T16:23:31Z,SUCCESSFUL,https://funnytools.win/en/for/designers/,https://funnytools.win/en/for/designers/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/for/designers/; https://funnytools.win/en/,UNKNOWN,,200,23,15–30 days,no
https://funnytools.win/en/for/developers/,2026-09-13T08:14:59.455Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=IyUkT-oqUV2SatZtq-yelg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-21T06:43:48Z,SUCCESSFUL,https://funnytools.win/en/for/developers/,https://funnytools.win/en/for/developers/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/for/developers/,UNKNOWN,,200,23,15–30 days,no
https://funnytools.win/en/for/office-workers/,2026-09-13T08:14:59.669Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=kBc6-esCX6iTPVV0U_J7kg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-21T07:12:01Z,SUCCESSFUL,https://funnytools.win/en/for/office-workers/,https://funnytools.win/en/for/office-workers/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/for/office-workers/,UNKNOWN,,200,23,15–30 days,no
https://funnytools.win/en/for/students/,2026-09-13T08:15:05.059Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=-jhDOVXiU87boI8YFavmug&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-22T00:52:23Z,SUCCESSFUL,https://funnytools.win/en/for/students/,https://funnytools.win/en/for/students/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/for/students/,UNKNOWN,,200,22,15–30 days,no
https://funnytools.win/en/for/teachers/,2026-09-13T08:15:06.890Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=gr-8X8A-RGFP5_Sz81marg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-09T05:06:35Z,SUCCESSFUL,https://funnytools.win/en/for/teachers/,https://funnytools.win/en/for/teachers/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/statistics/; https://funnytools.win/for/teachers/; http://funnytools.win/for/teachers/,UNKNOWN,,200,35,>30 days,no
https://funnytools.win/en/guides/,2026-09-13T08:15:07.075Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=TuNByvz4b2TpQW6mVd02Ng&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-19T14:47:08Z,SUCCESSFUL,https://funnytools.win/en/guides/,https://funnytools.win/en/guides/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/guides/,UNKNOWN,,200,24,15–30 days,no
https://funnytools.win/en/guides/2d-cad-drawing-board-workflow-guide/,2026-09-13T08:15:12.003Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=YdRU-qy-63lRxrFYxduk0Q&utm_medium=link&utm_source=api,Unknown,no,unknown,unknown,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,,PAGE_FETCH_STATE_UNSPECIFIED,,,GOOGLE_CANONICAL_ABSENT,,0,,0,,UNKNOWN,,200,,never crawled,candidate only; compare with local internal links
https://funnytools.win/en/guides/a4-vs-us-letter-printing-guide/,2026-09-13T08:15:14.093Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=TisNXTo7jvwaoBgC_4TViQ&utm_medium=link&utm_source=api,Unknown,no,unknown,unknown,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,,PAGE_FETCH_STATE_UNSPECIFIED,,,GOOGLE_CANONICAL_ABSENT,,0,,0,,UNKNOWN,,200,,never crawled,candidate only; compare with local internal links
https://funnytools.win/en/guides/anova-apa-format-guide/,2026-09-13T08:15:14.512Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=orsWVgebWfiyGqQbOl1TgA&utm_medium=link&utm_source=api,Unknown,no,unknown,unknown,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,,PAGE_FETCH_STATE_UNSPECIFIED,,,GOOGLE_CANONICAL_ABSENT,,0,,0,,UNKNOWN,,200,,never crawled,candidate only; compare with local internal links
https://funnytools.win/en/guides/bar-chart-school-report-guide/,2026-09-13T08:15:19.261Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=D9lOGDMrBwDgaapB5mMKkQ&utm_medium=link&utm_source=api,Unknown,no,unknown,unknown,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,,PAGE_FETCH_STATE_UNSPECIFIED,,,GOOGLE_CANONICAL_ABSENT,,0,,0,,UNKNOWN,,200,,never crawled,candidate only; compare with local internal links
https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,2026-09-13T08:15:21.237Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=kz5KNIxFvyrX-ukU99HMPg&utm_medium=link&utm_source=api,Unknown,no,unknown,unknown,NEUTRAL,URL is unknown to Google,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,,PAGE_FETCH_STATE_UNSPECIFIED,,,GOOGLE_CANONICAL_ABSENT,,0,,0,,UNKNOWN,,200,,never crawled,candidate only; compare with local internal links
